zone_id,zone_name,baseline_year,target_year,landcover_baseline,landcover_target,area_ha,conversion,notes
cd-gaoxin,成都高新区,2000,2020,cropland,settlement,4500,农田→建成区,核心区农田全部转为城市用地
cd-gaoxin,成都高新区,2000,2020,cropland,industrial,2500,农田→工业,出口加工区/软件园
cd-gaoxin,成都高新区,2000,2020,forest,settlement,800,林地→建成区,大源/中和片区开发
cd-gaoxin,成都高新区,2000,2020,grassland,settlement,600,草地→建成区,绿化带转为建设用地
cd-gaoxin,成都高新区,2000,2020,settlement,settlement,3500,建成区存量,2000年已建成部分保持不变
cd-gaoxin,成都高新区,2000,2020,cropland,cropland,1100,农田保留,环城生态带保留农田
cd-tianfu,天府新区(成都),2010,2020,cropland,settlement,12000,农田→建成区,科学城/中央商务区
cd-tianfu,天府新区(成都),2010,2020,cropland,industrial,5000,农田→工业,新兴产业园/物流园
cd-tianfu,天府新区(成都),2010,2020,forest,settlement,3000,林地→建成区,麓湖/兴隆湖周边开发
cd-tianfu,天府新区(成都),2010,2020,grassland,settlement,2000,草地→建成区,丘陵区开发
cd-tianfu,天府新区(成都),2010,2020,wetland,settlement,500,湿地→建成区,部分湿地填埋
cd-tianfu,天府新区(成都),2010,2020,cropland,cropland,18000,农田保留,基本农田保护
cd-tianfu,天府新区(成都),2010,2020,forest,forest,8000,林地保留,龙泉山城市森林公园
cd-tianfu,天府新区(成都),2010,2020,settlement,settlement,2000,建成区存量,2010年已建成
cd-jingkai,成都经开区,2000,2020,cropland,industrial,2500,农田→工业,汽车制造基地
cd-jingkai,成都经开区,2000,2020,cropland,settlement,1200,农田→建成区,配套居住商业
cd-jingkai,成都经开区,2000,2020,forest,industrial,300,林地→工业,山坡平整建厂
cd-jingkai,成都经开区,2000,2020,grassland,settlement,300,草地→建成区,零散地块开发
cd-jingkai,成都经开区,2000,2020,settlement,settlement,500,建成区存量,2000年已建成
cd-jingkai,成都经开区,2000,2020,cropland,cropland,700,农田保留,边缘未开发
cd-dongbu,成都东部新区,2015,2020,cropland,settlement,5000,农田→建成区,天府国际机场/空港新城
cd-dongbu,成都东部新区,2015,2020,cropland,industrial,3000,农田→工业,临空产业园
cd-dongbu,成都东部新区,2015,2020,forest,settlement,1500,林地→建成区,丘陵平整开发
cd-dongbu,成都东部新区,2015,2020,cropland,cropland,60000,农田保留,大部分未开发
cd-dongbu,成都东部新区,2015,2020,forest,forest,15000,林地保留,龙泉山东麓
cd-dongbu,成都东部新区,2015,2020,grassland,grassland,5000,草地保留,浅丘保留
cd-dongbu,成都东部新区,2015,2020,settlement,settlement,2500,建成区存量,2015年已建成(简阳城区)
